id,created_at,screen_name,mention
582965579931340800,Tue Mar 31 17:59:59 +0000 2015,ZOOWEEMAMI,AKlRAMADOS
582965579931340800,Tue Mar 31 17:59:59 +0000 2015,ZOOWEEMAMI,STRAlGHTPERSON
582965575888060417,Tue Mar 31 17:59:58 +0000 2015,lilahv,thegayYA
582965575888060417,Tue Mar 31 17:59:58 +0000 2015,lilahv,EverettMaroon
582965571928612864,Tue Mar 31 17:59:57 +0000 2015,lavendercaina,STRAlGHTPERSON
582965568422207491,Tue Mar 31 17:59:57 +0000 2015,STRAlGHTPERSON,ollycaskey
582965568422207491,Tue Mar 31 17:59:57 +0000 2015,STRAlGHTPERSON,STRAlGHTPERSON
582965564114616320,Tue Mar 31 17:59:56 +0000 2015,wastednights__,caelmarcus
582965560918581248,Tue Mar 31 17:59:55 +0000 2015,WickedlyMad,tayxbay
582965560918581248,Tue Mar 31 17:59:55 +0000 2015,WickedlyMad,miloturtle
582965557814829056,Tue Mar 31 17:59:54 +0000 2015,bellandromeda,Idee_fixe_
582965556015468545,Tue Mar 31 17:59:54 +0000 2015,graveltokiyoko,graxtaire
582965551569498113,Tue Mar 31 17:59:53 +0000 2015,oliviar633,bdunkelman
582965549740777472,Tue Mar 31 17:59:52 +0000 2015,larrystylinson,truIymadly
582965549585530880,Tue Mar 31 17:59:52 +0000 2015,liveforPTX,mitchgrassi
582965549069664258,Tue Mar 31 17:59:52 +0000 2015,demon_fever,feministculture
582965545303216128,Tue Mar 31 17:59:51 +0000 2015,avdols,ConchitaWurst
582965545064075264,Tue Mar 31 17:59:51 +0000 2015,josie_may_lo,tyleroakley
582965542975352834,Tue Mar 31 17:59:51 +0000 2015,corey4evrfamous,WipeHomophobia
582965542975352834,Tue Mar 31 17:59:51 +0000 2015,corey4evrfamous,WipeTransphobia
582965538017640451,Tue Mar 31 17:59:49 +0000 2015,GarrettGraham1,BestOfTheLeft
582965538017640451,Tue Mar 31 17:59:49 +0000 2015,GarrettGraham1,transstudent
582965534427377665,Tue Mar 31 17:59:49 +0000 2015,luci69dc,NOH8Campaign
582965527729016833,Tue Mar 31 17:59:47 +0000 2015,AndorOfCassian,botanicaI
582965517482328064,Tue Mar 31 17:59:45 +0000 2015,CAFiorello,BitchMedia
582965515196506113,Tue Mar 31 17:59:44 +0000 2015,TheMizunoiz,snoozyloser
582965504895262720,Tue Mar 31 17:59:41 +0000 2015,SigmaR3LLA,EW
582965503486005248,Tue Mar 31 17:59:41 +0000 2015,Oldlady12345,deray
582965500029878272,Tue Mar 31 17:59:40 +0000 2015,loudlysilent,autostraddle
582965500029878272,Tue Mar 31 17:59:40 +0000 2015,loudlysilent,LunchInThePark
582965499849515008,Tue Mar 31 17:59:40 +0000 2015,aliicegreeen,jenalive11
582965496594739200,Tue Mar 31 17:59:40 +0000 2015,itskera,EW
582965490995322881,Tue Mar 31 17:59:38 +0000 2015,archfvcker,transcvlt
582965490995322881,Tue Mar 31 17:59:38 +0000 2015,archfvcker,lxzyfemme
582965484330598400,Tue Mar 31 17:59:37 +0000 2015,BeanSiCiuin,canonquill
582965482971639808,Tue Mar 31 17:59:36 +0000 2015,STRAlGHTPERSON,blurrytylerr
582965482971639808,Tue Mar 31 17:59:36 +0000 2015,STRAlGHTPERSON,STRAlGHTPERSON
582965478647336960,Tue Mar 31 17:59:35 +0000 2015,demon_fever,pastellesbian
582965478500495361,Tue Mar 31 17:59:35 +0000 2015,copperlesbian,achiIIcs
582965474075516928,Tue Mar 31 17:59:34 +0000 2015,SaraLenay,mitchgrassi
582965470619426816,Tue Mar 31 17:59:33 +0000 2015,JustIwa,tyleroakley
582965466295074816,Tue Mar 31 17:59:32 +0000 2015,lilahv,dylandreilich
582965463484887040,Tue Mar 31 17:59:32 +0000 2015,STRAlGHTPERSON,AKlRAMADOS
582965463484887040,Tue Mar 31 17:59:32 +0000 2015,STRAlGHTPERSON,STRAlGHTPERSON
582965459928129536,Tue Mar 31 17:59:31 +0000 2015,darepooll,creampuffandy
582965459928129536,Tue Mar 31 17:59:31 +0000 2015,darepooll,STRAlGHTPERSON
582965459647090688,Tue Mar 31 17:59:31 +0000 2015,semanticpoetry,tywrent
582965458594320385,Tue Mar 31 17:59:30 +0000 2015,sadishemo,jenalive11
582965455519879168,Tue Mar 31 17:59:30 +0000 2015,SoneJustin,jenalive11
582965451967373313,Tue Mar 31 17:59:29 +0000 2015,viametanoia,theOFFICIALmilf
582965448360218624,Tue Mar 31 17:59:28 +0000 2015,STRAlGHTPERSON,alphahalsey
582965448360218624,Tue Mar 31 17:59:28 +0000 2015,STRAlGHTPERSON,STRAlGHTPERSON
582965445248024576,Tue Mar 31 17:59:27 +0000 2015,LyneaDeNay,bridgetstfu
582965437140459520,Tue Mar 31 17:59:25 +0000 2015,marnofosho,mitchgrassi
582965432749019136,Tue Mar 31 17:59:24 +0000 2015,heymermaid,tayhatmaker
582965432749019136,Tue Mar 31 17:59:24 +0000 2015,heymermaid,autostraddle
582965432749019136,Tue Mar 31 17:59:24 +0000 2015,heymermaid,LunchInThePark
582965430110838785,Tue Mar 31 17:59:24 +0000 2015,soulshipping,leoncoolwata
582965428802228224,Tue Mar 31 17:59:23 +0000 2015,wiII_ebooks,graxtaire
582965413459398656,Tue Mar 31 17:59:20 +0000 2015,TurboQueerJC,Idee_fixe_
582965406840799233,Tue Mar 31 17:59:18 +0000 2015,larrystylinson,achiIIcs
582965400322863105,Tue Mar 31 17:59:17 +0000 2015,gvngstabxtch,snoozyloser
582965399567917056,Tue Mar 31 17:59:16 +0000 2015,coolleafman,kelseykarpowich
582965397890199553,Tue Mar 31 17:59:16 +0000 2015,STRAlGHTPERSON,LocksTheFox
582965397890199553,Tue Mar 31 17:59:16 +0000 2015,STRAlGHTPERSON,STRAlGHTPERSON
