id,text,created_at,retweeted,in_reply_to_screen_name,in_reply_to_status_id,retweeted_screen_name,quoted_status_screen_name,source,retweet_count,screen_name,followers_count,friends_count
582965579931340800,RT @AKlRAMADOS: “@STRAlGHTPERSON: happy #transdayofvisibility !!!! trans ppl quote this w a selfie so we can all cry over ur beauty!” http:…,Tue Mar 31 17:59:59 +0000 2015,False,,,tenyasiidas,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,ZOOWEEMAMI,688,954
582965579734237186,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility * http://t.co/o9OlVD3YTH",Tue Mar 31 17:59:59 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries013</a>",0,series011,59,119
582965578920509440,"#transdayofvisibility I'm not a trans person, I'm just an ally. I was once uneducated and made stupid assumptions, but I learned.",Tue Mar 31 17:59:59 +0000 2015,False,,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,Semilocon,581,33
582965575888060417,"RT @thegayYA: For #TransDayofVisibility, read our interview with trans YA author @EverettMaroon! http://t.co/VoNDeMbySS",Tue Mar 31 17:59:58 +0000 2015,False,,,YA_Pride,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,lilahv,1932,1344
582965571928612864,"“@STRAlGHTPERSON: happy #transdayofvisibility!!!! trans ppl quote this w a selfie"" genderfluid goddess at ur service💪 http://t.co/NkvlMHafgQ",Tue Mar 31 17:59:57 +0000 2015,False,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",6,lavendercaina,222,282
582965568422207491,"RT @ollycaskey: ""@STRAlGHTPERSON: happy #transdayofvisibility trans ppl quote this so we can all cry over ur beauty"" gender fluid ♡♡♡ http:…",Tue Mar 31 17:59:57 +0000 2015,False,,,ollycasket,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,STRAlGHTPERSON,12966,127
582965566136254464,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility - http://t.co/UgRNNoF9ck",Tue Mar 31 17:59:56 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries013</a>",0,series011,59,119
582965564114616320,RT @caelmarcus: Happy International Transgender Day of Visibility! #transdayofvisibility http://t.co/SZko1RYdDp,Tue Mar 31 17:59:56 +0000 2015,False,,,caelmarcus,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,wastednights__,473,422
582965560918581248,RT @tayxbay: “@miloturtle: The only day I can feel prideful to be trans #transdayofvisibility http://t.co/JZxaCYaHnn” ❤️❤️❤️❤️❤️❤️❤️❤️,Tue Mar 31 17:59:55 +0000 2015,False,,,Octayvian,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,WickedlyMad,93,115
582965557814829056,RT @Idee_fixe_: Goddess #transdayofvisibility http://t.co/jzNaOFrkP0,Tue Mar 31 17:59:54 +0000 2015,False,,,Idee_fixe_,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,bellandromeda,3063,503
582965556015468545,RT @graxtaire: #transdayofvisibility  your genderfluid queer boy is here✨ 🌿 http://t.co/WdbqSXwF2l,Tue Mar 31 17:59:54 +0000 2015,False,,,prouvxire,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,graveltokiyoko,2045,197
582965552987111424,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility _ http://t.co/noMc3Doboz",Tue Mar 31 17:59:53 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries012</a>",0,series011,59,119
582965551569498113,"RT @bdunkelman: Happy #TransDayofVisibility, all you lovelies. Be you, always. &lt;3",Tue Mar 31 17:59:53 +0000 2015,False,,,bdunkelman,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,oliviar633,29,265
582965549740777472,RT @truIymadly: happy #TransDayofVisibility!! stay safe beautiful people 💖 http://t.co/UdLsfrbdJS,Tue Mar 31 17:59:52 +0000 2015,False,,,truIymadly,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,larrystylinson,88949,92
582965549585530880,RT @mitchgrassi: happy #transdayofvisibility! 💕☁️,Tue Mar 31 17:59:52 +0000 2015,False,,,mitchgrassi,,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",0,liveforPTX,437,102
582965549069664258,"RT @feministculture: Happy #transdayofvisibility, don't forget to support trans men/women everywhere for their incredible courage. http://t…",Tue Mar 31 17:59:52 +0000 2015,False,,,feministculture,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,demon_fever,883,364
582965545303216128,I drew the stunning and inspirational @ConchitaWurst for #transdayofvisibility for her amazing Eurovision speech! &lt;3 http://t.co/uAm9Ao3eTE,Tue Mar 31 17:59:51 +0000 2015,False,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",4,avdols,299,868
582965545064075264,RT @tyleroakley: Hope my followers check out #transdayofvisibility. Visibility is important. Listen to &amp; amplify trans experiences. http://…,Tue Mar 31 17:59:51 +0000 2015,False,,,tyleroakley,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,josie_may_lo,315,166
582965542975352834,"RT @WipeHomophobia: It’s Trans Day of Visibility today, find out more from #TDOV #TDoV2015 #transdayofvisibility @WipeTransphobia http://t.…",Tue Mar 31 17:59:51 +0000 2015,False,,,WipeHomophobia,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,corey4evrfamous,1089,247
582965539728957440,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility ? http://t.co/YwGY3C85D9",Tue Mar 31 17:59:50 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries012</a>",0,series011,59,119
582965538017640451,"RT @BestOfTheLeft: Today is #transdayofvisibility! Take the time to see, hear, &amp; learn. (graphic via @transstudent) #TDOV http://t.co/3E2EY…",Tue Mar 31 17:59:49 +0000 2015,False,,,BestOfTheLeft,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,GarrettGraham1,935,491
582965535580798977,Happy #transdayofvisibility to all those who are out and those who are not. You are valid and amazing no matter what your status of out is!,Tue Mar 31 17:59:49 +0000 2015,False,,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,metamish,283,514
582965534427377665,RT @NOH8Campaign: Today is #TransDayOfVisibility. Celebrate the 'T' in LGBT: share your stories and make your voices heard! #NOH8 #TDOV htt…,Tue Mar 31 17:59:49 +0000 2015,False,,,NOH8Campaign,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,luci69dc,4357,2620
582965527938760704,#transdayofvisibility To the haters: Are your lifes so empty and are you so unloveable that you don't have anything better to do?,Tue Mar 31 17:59:47 +0000 2015,False,,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,Semilocon,581,33
582965527729016833,"RT @botanicaI: today is #transdayofvisibility and this is a reminder that whatever your identity, you are an amazing and valid human being",Tue Mar 31 17:59:47 +0000 2015,False,,,botanicaI,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,AndorOfCassian,2694,12
582965526495956996,"Try it, you'll never regret!
https://t.co/5MRoFRPI02

#россияказахстан #5sosalbum2 #transdayofvisibility = http://t.co/HlJo8pFnic",Tue Mar 31 17:59:47 +0000 2015,False,,,,,"<a href=""https://twitter.com/series011"" rel=""nofollow"">gseries012</a>",0,series011,59,119
582965518916808704,Happy #transdayofvisibility !,Tue Mar 31 17:59:45 +0000 2015,False,,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,yerdead,1098,567
582965518623252480,Loving all this #transdayofvisibility on my dash! So many gorgeous people! ♡,Tue Mar 31 17:59:45 +0000 2015,False,,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2,ChrystinGarland,2039,271
582965517482328064,"RT @BitchMedia: Today is #transdayofvisibility! Check out the ""Trans 100,"" a list of people doing great work in arts and advocacy: http://t…",Tue Mar 31 17:59:45 +0000 2015,False,,,BitchMedia,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,CAFiorello,357,1093
582965515196506113,RT @snoozyloser: #transdayofvisibility my boyf may be cis but he loves and accepts me as his demigirlfriend no matter what 💘🌼 http://t.co/3…,Tue Mar 31 17:59:44 +0000 2015,False,,,horseys420,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,TheMizunoiz,804,1102
